NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_INT,GEN_ACT2
(PALS)SUMMIT GULCH VEGETATION MANAGEMENT PROJECT DN/FONSI,EAINT_CUT,2010-12-09,68.0,0 days 00:00:00.000000000,0,INT_CUT-EA
(PALS)SUMMIT GULCH VEGETATION MANAGEMENT PROJECT DN/FONSI,EAINT_CUT,2011-11-15,122.99999999999999,341 days 00:00:00.000000000,341,INT_CUT-EA
(PALS)SUMMIT GULCH VEGETATION MANAGEMENT PROJECT DN/FONSI,EAINT_CUT,2011-12-15,204.0,30 days 00:00:00.000000000,30,INT_CUT-EA
(PALS)ROCKY BEAR PROJECT,INT_CUT,2012-11-29,52.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)ROCKY BEAR PROJECT,INT_CUT,2012-11-30,108.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)ROCKY BEAR PROJECT,INT_CUT,2012-12-21,55.0,21 days 00:00:00.000000000,21,INT_CUT
(PALS)ROCKY BEAR PROJECT,INT_CUT,2015-09-21,63.0,1004 days 00:00:00.000000000,1004,INT_CUT
(PALS)ROCKY BEAR PROJECT,INT_CUT,2015-09-28,70.0,7 days 00:00:00.000000000,7,INT_CUT
(PALS)ROCKY BEAR PROJECT,INT_CUT,2015-10-19,72.0,21 days 00:00:00.000000000,21,INT_CUT
(PALS)ROCKY BEAR PROJECT,INT_CUT,2016-07-01,114.0,256 days 00:00:00.000000000,256,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2012-01-01,22.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2012-03-15,14.0,74 days 00:00:00.000000000,74,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,A2INT_CUT,2012-07-01,71.0,108 days 00:00:00.000000000,108,INT_CUT-A2
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-01-01,14.0,184 days 00:00:00.000000000,184,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-02-22,7.0,52 days 00:00:00.000000000,52,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-02-28,102.0,6 days 00:00:00.000000000,6,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-03-15,32.0,15 days 00:00:00.000000000,15,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-05-15,4.0,61 days 00:00:00.000000000,61,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-06-15,7.0,31 days 00:00:00.000000000,31,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-06-30,52.0,15 days 00:00:00.000000000,15,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2013-07-30,6.0,30 days 00:00:00.000000000,30,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2014-01-31,17.0,185 days 00:00:00.000000000,185,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2014-05-16,57.0,105 days 00:00:00.000000000,105,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2014-06-20,130.0,35 days 00:00:00.000000000,35,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2014-07-18,28.0,28 days 00:00:00.000000000,28,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2015-06-29,10.0,346 days 00:00:00.000000000,346,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2015-06-30,6.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2015-07-29,174.0,29 days 00:00:00.000000000,29,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2015-07-30,10.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2015-08-14,46.0,15 days 00:00:00.000000000,15,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2015-09-11,136.0,28 days 00:00:00.000000000,28,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2015-09-25,29.0,14 days 00:00:00.000000000,14,INT_CUT
(PALS)DN & FONSI WEISER RIVER FUELS REDUCTION PROJECT,INT_CUT,2016-09-15,5.0,356 days 00:00:00.000000000,356,INT_CUT
(PALS)COW CAMP FUELS REDUCTION PROJECT,EAINT_CUT,2010-09-03,75.0,0 days 00:00:00.000000000,0,INT_CUT-EA
(PALS)COW CAMP FUELS REDUCTION PROJECT,EA,2011-08-10,4.0,341 days 00:00:00.000000000,341,EA
(PALS)COW CAMP FUELS REDUCTION PROJECT,EA,2011-08-12,8.0,2 days 00:00:00.000000000,2,EA
(PALS)COW CAMP FUELS REDUCTION PROJECT,EA,2011-08-15,6.0,3 days 00:00:00.000000000,3,EA
(PALS)COW CAMP FUELS REDUCTION PROJECT,EA,2011-08-22,15.0,7 days 00:00:00.000000000,7,EA
(PALS)COW CAMP FUELS REDUCTION PROJECT,EA,2011-08-29,7.0,7 days 00:00:00.000000000,7,EA
(PALS)COW CAMP FUELS REDUCTION PROJECT,UA,2011-09-12,22.0,14 days 00:00:00.000000000,14,UA
(PALS)COW CAMP FUELS REDUCTION PROJECT,INT_CUT,2011-09-16,45.0,4 days 00:00:00.000000000,4,INT_CUT
(PALS)COW CAMP FUELS REDUCTION PROJECT,INT_CUT,2012-09-11,27.0,361 days 00:00:00.000000000,361,INT_CUT
(PALS)COW CAMP FUELS REDUCTION PROJECT,INT_CUT,2012-09-12,22.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)COW CAMP FUELS REDUCTION PROJECT,INT_CUT,2014-03-11,11.0,545 days 00:00:00.000000000,545,INT_CUT
(PALS)SOLDIER CREEK WUI: HAZARD FUELS REDUCTION PROJECT,INT_CUT,2012-03-21,55.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)REDFISH 210 POST-INSECT OUTBREAK FUELS PROJECT DECISION MEMO,EA,2016-09-15,4.0,0 days 00:00:00.000000000,0,EA
(PALS)REDFISH 210 POST-INSECT OUTBREAK FUELS PROJECT DECISION MEMO,EA,2016-10-14,26.0,29 days 00:00:00.000000000,29,EA
(PALS)REDFISH 210 POST-INSECT OUTBREAK FUELS PROJECT DECISION MEMO,EA,2017-08-15,36.0,305 days 00:00:00.000000000,305,EA
(PALS)REDFISH 210 POST-INSECT OUTBREAK FUELS PROJECT DECISION MEMO,EA,2017-08-24,28.0,9 days 00:00:00.000000000,9,EA
(PALS)REDFISH 210 POST-INSECT OUTBREAK FUELS PROJECT DECISION MEMO,EA,2017-09-01,34.0,8 days 00:00:00.000000000,8,EA
(PALS)REDFISH 210 POST-INSECT OUTBREAK FUELS PROJECT DECISION MEMO,EA,2017-11-15,19.0,75 days 00:00:00.000000000,75,EA
(PALS)REDFISH 210 POST-INSECT OUTBREAK FUELS PROJECT DECISION MEMO,EA,2018-11-15,19.0,365 days 00:00:00.000000000,365,EA
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2017-07-17,42.6,0 days 00:00:00.000000000,0,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2017-08-18,82.1,32 days 00:00:00.000000000,32,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2017-09-11,118.69999999999999,24 days 00:00:00.000000000,24,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2017-10-01,16.1,20 days 00:00:00.000000000,20,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2017-10-31,235.5,30 days 00:00:00.000000000,30,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2017-11-15,93.9,15 days 00:00:00.000000000,15,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2017-12-08,9.5,23 days 00:00:00.000000000,23,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2018-02-06,5.0,60 days 00:00:00.000000000,60,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2018-02-26,57.0,20 days 00:00:00.000000000,20,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2018-02-28,38.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUTEA,2018-05-31,113.1,92 days 00:00:00.000000000,92,INT_CUT-EA
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,EAINT_CUT,2018-06-15,141.49999999999997,15 days 00:00:00.000000000,15,INT_CUT-EA
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,UAEAINT_CUT,2018-07-13,313.40000000000003,28 days 00:00:00.000000000,28,UA-EA-INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,EAINT_CUT,2018-08-10,15.3,28 days 00:00:00.000000000,28,INT_CUT-EA
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,EA,2019-10-01,14.0,417 days 00:00:00.000000000,417,EA
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2019-11-18,52.0,48 days 00:00:00.000000000,48,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-06-03,8.0,198 days 00:00:00.000000000,198,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-06-10,12.0,7 days 00:00:00.000000000,7,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-07-08,40.0,28 days 00:00:00.000000000,28,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-07-13,20.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-07-16,18.0,3 days 00:00:00.000000000,3,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-07-21,9.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-07-24,7.0,3 days 00:00:00.000000000,3,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-08-05,20.0,12 days 00:00:00.000000000,12,INT_CUT
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,EAINT_CUT,2020-08-18,25.0,13 days 00:00:00.000000000,13,INT_CUT-EA
(PALS)FINAL RECORD OF DECISION LOST CREEK BOULDER CREEK PROJECT,INT_CUT,2020-08-20,18.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)EAST FORK LOST CREEK NORTHERN IDAHO GROUND SQUIRREL HABITAT IMPROVEMENT PR,INT_CUT,2011-12-01,57.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)EAST FORK LOST CREEK NORTHERN IDAHO GROUND SQUIRREL HABITAT IMPROVEMENT PR,INT_CUT,2012-01-13,31.0,43 days 00:00:00.000000000,43,INT_CUT
(PALS)EAST FORK LOST CREEK NORTHERN IDAHO GROUND SQUIRREL HABITAT IMPROVEMENT PR,INT_CUT,2013-01-14,115.0,367 days 00:00:00.000000000,367,INT_CUT
(PALS)EAST FORK LOST CREEK NORTHERN IDAHO GROUND SQUIRREL HABITAT IMPROVEMENT PR,INT_CUT,2013-01-15,87.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)EAST FORK LOST CREEK NORTHERN IDAHO GROUND SQUIRREL HABITAT IMPROVEMENT PR,INT_CUT,2013-04-15,17.0,90 days 00:00:00.000000000,90,INT_CUT
REDTREE FUELS REDUCTION,EA,2006-09-14,11.0,0 days 00:00:00.000000000,0,EA
REDTREE FUELS REDUCTION,EA,2007-09-24,5.0,375 days 00:00:00.000000000,375,EA
REDTREE FUELS REDUCTION,INT_CUT,2007-10-15,91.0,21 days 00:00:00.000000000,21,INT_CUT
REDTREE FUELS REDUCTION,EAINT_CUT,2007-11-30,57.0,46 days 00:00:00.000000000,46,INT_CUT-EA
REDTREE FUELS REDUCTION,INT_CUT,2008-01-22,67.0,53 days 00:00:00.000000000,53,INT_CUT
REDTREE FUELS REDUCTION,INT_CUT,2008-11-30,34.0,313 days 00:00:00.000000000,313,INT_CUT
REDTREE FUELS REDUCTION,INT_CUT,2009-09-09,166.0,283 days 00:00:00.000000000,283,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2013-11-05,36.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2013-12-12,56.0,37 days 00:00:00.000000000,37,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2014-01-15,57.0,34 days 00:00:00.000000000,34,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2014-02-12,97.0,28 days 00:00:00.000000000,28,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2014-04-17,9.0,64 days 00:00:00.000000000,64,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2014-05-20,101.0,33 days 00:00:00.000000000,33,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2014-06-23,204.0,34 days 00:00:00.000000000,34,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-01-05,4.0,196 days 00:00:00.000000000,196,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-02-14,66.0,40 days 00:00:00.000000000,40,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-03-17,30.0,31 days 00:00:00.000000000,31,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-08-26,167.0,162 days 00:00:00.000000000,162,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-09-20,43.0,25 days 00:00:00.000000000,25,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-10-01,145.0,11 days 00:00:00.000000000,11,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-10-15,50.0,14 days 00:00:00.000000000,14,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-11-01,18.0,17 days 00:00:00.000000000,17,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-11-15,29.0,14 days 00:00:00.000000000,14,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-12-01,33.0,16 days 00:00:00.000000000,16,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2015-12-15,120.0,14 days 00:00:00.000000000,14,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-02-14,190.0,61 days 00:00:00.000000000,61,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-06-01,24.0,108 days 00:00:00.000000000,108,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-07-15,16.0,44 days 00:00:00.000000000,44,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-08-03,386.0,19 days 00:00:00.000000000,19,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-09-15,49.0,43 days 00:00:00.000000000,43,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-09-20,4.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-10-14,6.0,24 days 00:00:00.000000000,24,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-10-15,316.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-11-05,119.0,21 days 00:00:00.000000000,21,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2016-12-01,8.0,26 days 00:00:00.000000000,26,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2017-06-12,37.0,193 days 00:00:00.000000000,193,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2017-06-23,87.0,11 days 00:00:00.000000000,11,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-07-11,4.0,383 days 00:00:00.000000000,383,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-07-16,56.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-08-12,12.0,27 days 00:00:00.000000000,27,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-08-13,36.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-08-15,26.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-09-10,29.0,26 days 00:00:00.000000000,26,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-09-12,10.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-09-17,30.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-09-19,24.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-09-24,32.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-10-01,16.0,7 days 00:00:00.000000000,7,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-10-10,52.0,9 days 00:00:00.000000000,9,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-10-15,300.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-11-01,76.0,17 days 00:00:00.000000000,17,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-11-10,79.0,9 days 00:00:00.000000000,9,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-11-15,16.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-11-19,14.0,4 days 00:00:00.000000000,4,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-12-10,5.0,21 days 00:00:00.000000000,21,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-12-15,76.0,5 days 00:00:00.000000000,5,INT_CUT
(PALS)MILL CREEK-COUNCIL MOUNTAIN LANDSCAPE RESTORATION PROJECT ROD,INT_CUT,2018-12-18,2.0,3 days 00:00:00.000000000,3,INT_CUT
(PALS)WARM SPRINGS FUELS REDUCTION PROJECT DN/FONSI,INT_CUTUA,2010-11-30,73.0,0 days 00:00:00.000000000,0,INT_CUT-UA
(PALS)WARM SPRINGS FUELS REDUCTION PROJECT DN/FONSI,INT_CUTUA,2010-12-10,162.0,10 days 00:00:00.000000000,10,INT_CUT-UA
(PALS)WARM SPRINGS FUELS REDUCTION PROJECT DN/FONSI,INT_CUTUA,2010-12-17,129.0,7 days 00:00:00.000000000,7,INT_CUT-UA
(PALS)WARM SPRINGS FUELS REDUCTION PROJECT DN/FONSI,INT_CUT,2011-08-01,22.0,227 days 00:00:00.000000000,227,INT_CUT
(PALS)WARM SPRINGS FUELS REDUCTION PROJECT DN/FONSI,UA,2011-08-31,28.0,30 days 00:00:00.000000000,30,UA
(PALS)LITTLE SKI HILL RUN EXPANSION PROJECT,LAND_CLEAR,2014-12-09,5.0,0 days 00:00:00.000000000,0,LAND_CLEAR
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-05,33.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-06,11.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-10,6.0,4 days 00:00:00.000000000,4,INT_CUT
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-11,3.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-12,4.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-14,5.0,2 days 00:00:00.000000000,2,INT_CUT
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-17,17.0,3 days 00:00:00.000000000,3,INT_CUT
(PALS)UPPER SOUTH FORK BOISE RIVER VEGETATION MANAGEMENT PROJECT,INT_CUT,2012-09-18,4.0,1 days 00:00:00.000000000,1,INT_CUT
(PALS)CROOKED RIVER VEGETATION MANGEMENT PROJECT,INT_CUT,2011-01-05,227.79999999999998,0 days 00:00:00.000000000,0,INT_CUT
(PALS)CROOKED RIVER VEGETATION MANGEMENT PROJECT,INT_CUT,2011-02-14,271.3,40 days 00:00:00.000000000,40,INT_CUT
(PALS)CROOKED RIVER VEGETATION MANGEMENT PROJECT,INT_CUT,2011-06-23,46.4,129 days 00:00:00.000000000,129,INT_CUT
(PALS)CROOKED RIVER VEGETATION MANGEMENT PROJECT,INT_CUT,2012-01-05,422.4,196 days 00:00:00.000000000,196,INT_CUT
(PALS)CROOKED RIVER VEGETATION MANGEMENT PROJECT,INT_CUT,2012-02-14,102.6,40 days 00:00:00.000000000,40,INT_CUT
(PALS)CROOKED RIVER VEGETATION MANGEMENT PROJECT,INT_CUT,2012-03-15,100.4,30 days 00:00:00.000000000,30,INT_CUT
(PALS)CROOKED RIVER VEGETATION MANGEMENT PROJECT,INT_CUT,2012-10-15,84.2,214 days 00:00:00.000000000,214,INT_CUT
(PALS)BIG SMOKY SUMMER HOMES: HAZARD FUELS REDUCTION PROJECT,INT_CUT,2009-04-22,10.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)STANLEY LAKE RECREATION COMPLEX RECONSTRUCTION PROJECT,INT_CUT,2015-07-31,25.0,0 days 00:00:00.000000000,0,INT_CUT
WESTSIDE VEGETATION MANAGEMENT PROJECT,INT_CUT,2005-11-22,60.0,0 days 00:00:00.000000000,0,INT_CUT
WESTSIDE VEGETATION MANAGEMENT PROJECT,INT_CUT,2011-07-25,346.0,2071 days 00:00:00.000000000,2071,INT_CUT
(PALS)DEER CREEK WATERSHED PROJECT,UA,2018-08-31,5.0,0 days 00:00:00.000000000,0,UA
(PALS)GREEN HORNET HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2008-01-15,123.1,0 days 00:00:00.000000000,0,INT_CUT
(PALS)GREEN HORNET HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2008-01-20,32.5,5 days 00:00:00.000000000,5,INT_CUT
(PALS)GREEN HORNET HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2008-02-15,11.6,26 days 00:00:00.000000000,26,INT_CUT
(PALS)GREEN HORNET HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2010-10-15,35.0,973 days 00:00:00.000000000,973,INT_CUT
(PALS)GREEN HORNET HAZARDOUS FUELS REDUCTION PROJECT,INT_CUT,2011-02-14,193.0,122 days 00:00:00.000000000,122,INT_CUT
(PALS)POLE CREEK ROAD REROUTE,EA,2015-01-16,4.0,0 days 00:00:00.000000000,0,EA
