NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_ACTIVITY,int
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2001-11-01,24.0,123 days 00:00:00.000000000,EA-RH-FH to UA-RH-FH,123
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2001-11-15,44.0,14 days 00:00:00.000000000,UA-RH-FH to EA-RH-FH,14
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2001-11-15,4.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2001-11-15,48.0,0 days 00:00:00.000000000,UA-RH-FH and EA-RH-NFH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-06-01,8.0,198 days 00:00:00.000000000,UA-RH-FH to EA-RH-FH,198
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-06-10,5.0,9 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,9
DEFAULT FOR NOT REQUIRED,INT_CUT,2002-07-01,6.0,21 days 00:00:00.000000000,EA-RH-FH to INT_CUT,21
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2002-07-15,18.0,14 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,14
DEFAULT FOR NOT REQUIRED,INT_CUT,2002-08-09,36.0,25 days 00:00:00.000000000,EA-RH-NFH to INT_CUT,25
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2002-08-09,10.0,0 days 00:00:00.000000000,EA-RH-NFH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2002-09-10,914.7,32 days 00:00:00.000000000,EA-RH-NFH to INT_CUT,32
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-09-10,275.8,0 days 00:00:00.000000000,EA-RH-FH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2002-09-15,26.0,5 days 00:00:00.000000000,EA-RH-FH to EA-RH-NFH,5
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2002-09-15,20.0,0 days 00:00:00.000000000,UA-RH-FH and EA-RH-NFH same day,0
DEFAULT FOR NOT REQUIRED,A2-NRH-FH,2002-09-15,38.0,0 days 00:00:00.000000000,A2-NRH-FH and UA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-09-15,134.0,0 days 00:00:00.000000000,EA-RH-FH and A2-NRH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-10-01,4.0,16 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,16
DEFAULT FOR NOT REQUIRED,INT_CUT,2002-10-10,38.0,9 days 00:00:00.000000000,EA-RH-FH to INT_CUT,9
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-10-10,17.0,0 days 00:00:00.000000000,EA-RH-FH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-10-15,33.0,5 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,5
DEFAULT FOR NOT REQUIRED,INT_CUT,2002-10-30,8.0,15 days 00:00:00.000000000,EA-RH-FH to INT_CUT,15
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-10-30,14.0,0 days 00:00:00.000000000,EA-RH-FH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2002-11-01,17.0,2 days 00:00:00.000000000,EA-RH-FH to EA-RH-NFH,2
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2002-11-30,23.0,29 days 00:00:00.000000000,EA-RH-NFH to EA-RH-FH,29
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2002-11-30,41.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2003-07-01,58.0,213 days 00:00:00.000000000,EA-RH-NFH to INT_CUT,213
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2003-07-01,53.0,0 days 00:00:00.000000000,EA-RH-FH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2003-07-01,89.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2003-09-01,10.0,62 days 00:00:00.000000000,EA-RH-NFH to EA-RH-FH,62
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2003-09-09,16.0,8 days 00:00:00.000000000,EA-RH-FH to EA-RH-NFH,8
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2003-09-15,7.0,6 days 00:00:00.000000000,EA-RH-NFH to UA-RH-FH,6
DEFAULT FOR NOT REQUIRED,INT_CUT,2003-09-30,149.0,15 days 00:00:00.000000000,UA-RH-FH to INT_CUT,15
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2003-09-30,51.0,0 days 00:00:00.000000000,EA-RH-FH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2003-12-01,2.0,62 days 00:00:00.000000000,EA-RH-FH to INT_CUT,62
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2004-01-01,31.0,31 days 00:00:00.000000000,INT_CUT to EA-RH-FH,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-02-01,11.0,31 days 00:00:00.000000000,EA-RH-FH to INT_CUT,31
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2004-02-01,8.0,0 days 00:00:00.000000000,EA-RH-FH and INT_CUT same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2004-02-15,5.0,14 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,14
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2004-06-01,20.0,107 days 00:00:00.000000000,EA-RH-FH to EA-RH-NFH,107
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2004-06-15,3.0,14 days 00:00:00.000000000,EA-RH-NFH to EA-RH-FH,14
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2004-06-15,39.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-06-15,258.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2004-07-01,47.0,16 days 00:00:00.000000000,INT_CUT to EA-RH-FH,16
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2004-08-01,126.0,31 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2004-08-01,2.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-FH same day,0
